grade,credit,weight
F,21,65.89098859412046
F,15,65.33363632944979
F,18,71.62999317491426
A,20,67.0192540100645
B,15,64.01880548893001
C,17,80.39590719627158
D,20,72.35639097244353
D,18,61.69419607309083
D,17,65.09475246475255
D,22,60.757534810524994
B,15,59.470357213861
F,17,77.52734278372641
C,20,68.57561659249983
D,17,75.63420366496997
C,18,61.41143381668857
F,16,61.97953625745199
A,14,74.8866137778578
D,18,67.76881576136182
B,15,70.30345568558981
F,17,72.31250907947
B,17,80.16034540339939
D,17,72.03038431084941
B,15,63.13456752350123
A,17,80.6124718425347
B,18,53.93732935019097
A,16,60.85961657717533
D,18,79.47851986191682
D,19,51.27806975007236
D,17,71.84791860768952
D,19,73.9111143739704
C,18,66.09490255782156
B,18,59.187349216254574
A,19,69.4716230953444
B,16,56.61690265967583
C,15,65.40316954041002
A,17,64.0549154775059
B,16,63.15985870374695
C,14,59.77176089349375
B,18,64.67783547579339
C,18,81.79544138074124
F,19,72.75837502414407
C,19,66.86852354769839
C,21,60.36400968180247
D,19,75.22265895992021
F,18,69.72879674071638
A,17,63.929132877785904
F,18,56.37134016187011
C,18,67.1043121008374
C,16,66.77377896606387
F,18,82.11738418699596
F,18,68.21884690762519
F,17,59.79683037377201
D,17,65.17814305859349
F,18,80.31394184227585
A,17,47.65412159053392
B,19,55.95984260140587
A,18,69.48023292025593
D,17,70.30337341677634
C,15,83.38654518748929
F,15,67.91889263622265
F,16,67.31508624885959
C,19,65.65406308924972
A,18,49.9855248200618
D,16,54.6764173031206
D,19,68.20128121064789
B,18,81.91772469381213
B,16,60.167482925781464
D,16,56.077907376662225
B,19,62.020163947174595
A,16,53.71588397126497
B,18,72.37420113999357
F,20,63.53330258679385
F,18,68.77422346845692
D,18,72.44558511245977
F,16,66.28572910758596
C,16,66.49611757810143
C,17,62.09682512065042
D,18,68.44838382374301
D,20,63.515740577923346
F,19,56.30623818692558
A,15,68.69244190266433
B,18,69.98382263436535
F,19,68.36675873194913
B,16,64.21450688431835
B,18,66.58934815277664
A,19,61.24804439036858
F,16,70.8362704535367
D,17,69.06329247379465
D,16,85.63689258510323
B,16,83.73382139077901
F,16,69.33585984714904
C,17,73.04443614390965
F,17,65.77235882270458
C,19,70.40872242920433
D,17,79.95641434498765
B,18,59.827992740472666
C,17,62.30793679305744
A,15,62.85127134756768
C,19,60.93347672774969
F,17,77.97268570328818
D,18,83.66705853699102
D,20,69.4178231225858
A,23,63.03592087775792
F,16,66.2416497490818
A,17,66.26287268150934
D,19,61.68384651383255
B,19,69.07896098114249
F,17,77.62085186509195
F,16,56.933885542256206
D,19,68.04122093078477
C,18,65.51686344234976
A,15,69.92530429565659
C,18,64.2645766321658
C,18,59.00414848798354
D,18,74.67209744205354
B,16,79.2920319865295
F,20,60.77300664378277
B,18,69.9363692083528
F,14,64.02485644237478
A,15,61.914343254631255
D,17,66.09250549894726
B,16,64.21461112882864
D,18,75.00212718664196
F,16,55.99152011161574
C,17,69.15296306204876
C,15,79.27308225996902
B,17,71.42459904314462
A,17,83.24765228086595
B,18,64.76799255703504
D,17,64.80962928640552
C,17,58.65800823011427
F,18,69.51436989910925
C,17,65.76542117557953
D,17,62.47587238335703
A,19,72.06468012663252
A,18,71.14706636142192
A,19,70.95664151731681
D,19,74.91822176487706
F,18,64.38206249318056
B,15,60.990724156390115
F,19,59.75384233212447
